"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,42
"2","Eragrostis lehmanniana","ERLE",NA,1,1,47
"3","Eragrostis lehmanniana","ERLE",NA,1,1,69
"4","Eragrostis lehmanniana","ERLE",NA,1,1,75
"5","Eragrostis lehmanniana","ERLE",NA,1,2,6
"6","Eragrostis lehmanniana","ERLE",NA,1,2,5
"7","Eragrostis lehmanniana","ERLE",NA,1,2,4
"8","Eragrostis lehmanniana","ERLE",NA,1,2,5
"9","Aristida","ARIST",NA,1,3,16
"10","Aristida","ARIST",NA,1,3,21
"11","Aristida","ARIST",NA,1,3,25
"12","Aristida","ARIST",NA,1,3,24
"13","Eragrostis lehmanniana","ERLE",NA,1,4,60.5
"14","Eragrostis lehmanniana","ERLE",NA,1,4,59.5
"15","Eragrostis lehmanniana","ERLE",NA,1,4,51
"16","Eragrostis lehmanniana","ERLE",NA,1,4,61
"17","Eragrostis lehmanniana","ERLE",NA,1,5,66
"18","Eragrostis lehmanniana","ERLE",NA,1,5,91
"19","Eragrostis lehmanniana","ERLE",NA,1,5,65
"20","Eragrostis lehmanniana","ERLE",NA,1,5,49
"21","Eragrostis lehmanniana","ERLE",NA,1,6,66.5
"22","Eragrostis lehmanniana","ERLE",NA,1,6,80.5
"23","Eragrostis lehmanniana","ERLE",NA,1,6,5
"24","Eragrostis lehmanniana","ERLE",NA,1,6,5
"25","Eragrostis lehmanniana","ERLE",NA,1,7,73.5
"26","Eragrostis lehmanniana","ERLE",NA,1,7,73
"27","Eragrostis lehmanniana","ERLE",NA,1,7,55.5
"28","Eragrostis lehmanniana","ERLE",NA,1,7,43.5
"29","Aristida","ARIST",NA,1,8,22
"30","Aristida","ARIST",NA,1,8,20
"31","Aristida","ARIST",NA,1,8,12
"32","Aristida","ARIST",NA,1,8,7
"33","Eragrostis lehmanniana","ERLE",NA,1,9,32
"34","Eragrostis lehmanniana","ERLE",NA,1,9,62
"35","Eragrostis lehmanniana","ERLE",NA,1,9,69
"36","Eragrostis lehmanniana","ERLE",NA,1,9,50
"37","Aristida","ARIST",NA,1,10,5
"38","Aristida","ARIST",NA,1,10,9
"39","Aristida","ARIST",NA,1,10,11
"40","Aristida","ARIST",NA,1,10,2
"41","Eragrostis lehmanniana","ERLE",NA,1,11,79
"42","Eragrostis lehmanniana","ERLE",NA,1,11,68
"43","Eragrostis lehmanniana","ERLE",NA,1,11,60
"44","Eragrostis lehmanniana","ERLE",NA,1,11,61
"45","Eragrostis lehmanniana","ERLE",NA,1,12,11
"46","Eragrostis lehmanniana","ERLE",NA,1,12,25
"47","Eragrostis lehmanniana","ERLE",NA,1,12,24
"48","Eragrostis lehmanniana","ERLE",NA,1,12,3
"49","Eragrostis lehmanniana","ERLE",NA,1,13,52
"50","Eragrostis lehmanniana","ERLE",NA,1,13,42
"51","Eragrostis lehmanniana","ERLE",NA,1,13,59.5
"52","Eragrostis lehmanniana","ERLE",NA,1,13,56
"53","Eragrostis lehmanniana","ERLE",NA,1,14,76
"54","Eragrostis lehmanniana","ERLE",NA,1,14,42
"55","Eragrostis lehmanniana","ERLE",NA,1,14,29
"56","Eragrostis lehmanniana","ERLE",NA,1,14,46
"57","Eragrostis lehmanniana","ERLE",NA,1,15,73
"58","Eragrostis lehmanniana","ERLE",NA,1,15,62.5
"59","Eragrostis lehmanniana","ERLE",NA,1,15,67
"60","Eragrostis lehmanniana","ERLE",NA,1,15,63
"61","Aristida","ARIST",NA,1,16,17
"62","Aristida","ARIST",NA,1,16,15
"63","Aristida","ARIST",NA,1,16,22
"64","Aristida","ARIST",NA,1,16,18
"65","Aristida","ARIST",NA,1,17,41
"66","Aristida","ARIST",NA,1,17,43
"67","Aristida","ARIST",NA,1,17,46
"68","Aristida","ARIST",NA,1,17,39
"69","Eragrostis lehmanniana","ERLE",NA,1,18,59
"70","Eragrostis lehmanniana","ERLE",NA,1,18,54
"71","Eragrostis lehmanniana","ERLE",NA,1,18,63
"72","Eragrostis lehmanniana","ERLE",NA,1,18,62
"73","Eragrostis lehmanniana","ERLE",NA,1,19,59
"74","Eragrostis lehmanniana","ERLE",NA,1,19,57
"75","Eragrostis lehmanniana","ERLE",NA,1,19,59.5
"76","Eragrostis lehmanniana","ERLE",NA,1,19,62
"77","Eragrostis lehmanniana","ERLE",NA,1,20,68
"78","Eragrostis lehmanniana","ERLE",NA,1,20,69
"79","Eragrostis lehmanniana","ERLE",NA,1,20,68.5
"80","Eragrostis lehmanniana","ERLE",NA,1,20,14
"81","Eragrostis lehmanniana","ERLE",NA,1,21,91
"82","Eragrostis lehmanniana","ERLE",NA,1,21,72
"83","Eragrostis lehmanniana","ERLE",NA,1,21,65
"84","Eragrostis lehmanniana","ERLE",NA,1,21,71
"85","Eragrostis lehmanniana","ERLE",NA,1,22,68.5
"86","Eragrostis lehmanniana","ERLE",NA,1,22,67.5
"87","Eragrostis lehmanniana","ERLE",NA,1,22,69
"88","Eragrostis lehmanniana","ERLE",NA,1,22,41
"89","Eragrostis lehmanniana","ERLE",NA,1,23,70.5
"90","Eragrostis lehmanniana","ERLE",NA,1,23,86.5
"91","Eragrostis lehmanniana","ERLE",NA,1,23,69.5
"92","Eragrostis lehmanniana","ERLE",NA,1,23,73
"93","Eragrostis lehmanniana","ERLE",NA,1,24,75
"94","Eragrostis lehmanniana","ERLE",NA,1,24,71
"95","Eragrostis lehmanniana","ERLE",NA,1,24,71.5
"96","Eragrostis lehmanniana","ERLE",NA,1,24,67
"97","Eragrostis lehmanniana","ERLE",NA,1,25,56
"98","Eragrostis lehmanniana","ERLE",NA,1,25,34
"99","Eragrostis lehmanniana","ERLE",NA,1,25,39
"100","Eragrostis lehmanniana","ERLE",NA,1,25,38
"101","Eragrostis lehmanniana","ERLE",NA,1,26,54
"102","Eragrostis lehmanniana","ERLE",NA,1,26,60
"103","Eragrostis lehmanniana","ERLE",NA,1,26,53
"104","Eragrostis lehmanniana","ERLE",NA,1,26,68
"105","Aristida","ARIST",NA,1,27,27
"106","Aristida","ARIST",NA,1,27,39
"107","Aristida","ARIST",NA,1,27,31
"108","Aristida","ARIST",NA,1,27,26
"109","Aristida","ARIST",NA,1,28,37
"110","Aristida","ARIST",NA,1,28,31
"111","Aristida","ARIST",NA,1,28,27
"112","Aristida","ARIST",NA,1,28,25
"113","Setaria macrostachya","SEMA5",NA,1,29,46
"114","Setaria macrostachya","SEMA5",NA,1,29,40
"115","Setaria macrostachya","SEMA5",NA,1,29,41
"116","Setaria macrostachya","SEMA5",NA,1,29,55
"117","Eragrostis lehmanniana","ERLE",NA,1,30,78
"118","Eragrostis lehmanniana","ERLE",NA,1,30,77
"119","Eragrostis lehmanniana","ERLE",NA,1,30,66
"120","Eragrostis lehmanniana","ERLE",NA,1,30,65
"121","Bouteloua repens","BORE2",NA,1,31,27
"122","Bouteloua repens","BORE2",NA,1,31,29
"123","Bouteloua repens","BORE2",NA,1,31,21
"124","Bouteloua repens","BORE2",NA,1,31,11
"125","Aristida","ARIST",NA,1,32,21
"126","Aristida","ARIST",NA,1,32,22
"127","Aristida","ARIST",NA,1,32,16
"128","Aristida","ARIST",NA,1,32,14
"129","Aristida","ARIST",NA,1,33,48
"130","Aristida","ARIST",NA,1,33,42
"131","Aristida","ARIST",NA,1,33,43
"132","Aristida","ARIST",NA,1,33,26
"133","Bouteloua repens","BORE2",NA,1,34,18
"134","Bouteloua repens","BORE2",NA,1,34,20.5
"135","Bouteloua repens","BORE2",NA,1,34,35
"136","Bouteloua repens","BORE2",NA,1,34,22
"137","Bouteloua repens","BORE2",NA,1,35,4
"138","Bouteloua repens","BORE2",NA,1,35,5
"139","Bouteloua repens","BORE2",NA,1,35,5
"140","Bouteloua repens","BORE2",NA,1,35,8
"141","Aristida","ARIST",NA,1,36,17
"142","Aristida","ARIST",NA,1,36,17
"143","Aristida","ARIST",NA,1,36,15
"144","Aristida","ARIST",NA,1,36,14
"145","Bouteloua repens","BORE2",NA,1,37,10
"146","Bouteloua repens","BORE2",NA,1,37,9
"147","Bouteloua repens","BORE2",NA,1,37,6
"148","Bouteloua repens","BORE2",NA,1,37,6
"149","Bouteloua repens","BORE2",NA,1,38,9
"150","Bouteloua repens","BORE2",NA,1,38,29
"151","Bouteloua repens","BORE2",NA,1,38,47
"152","Bouteloua repens","BORE2",NA,1,38,30
"153","Bouteloua repens","BORE2",NA,1,39,48
"154","Bouteloua repens","BORE2",NA,1,39,51
"155","Bouteloua repens","BORE2",NA,1,39,37
"156","Bouteloua repens","BORE2",NA,1,39,26
"157","Eragrostis lehmanniana","ERLE",NA,1,40,51
"158","Eragrostis lehmanniana","ERLE",NA,1,40,53
"159","Eragrostis lehmanniana","ERLE",NA,1,40,57
"160","Eragrostis lehmanniana","ERLE",NA,1,40,44
"161","Bouteloua repens","BORE2",NA,1,41,29
"162","Bouteloua repens","BORE2",NA,1,41,28
"163","Bouteloua repens","BORE2",NA,1,41,36
"164","Bouteloua repens","BORE2",NA,1,41,29
"165","Bouteloua repens","BORE2",NA,1,42,14
"166","Bouteloua repens","BORE2",NA,1,42,16
"167","Bouteloua repens","BORE2",NA,1,42,8
"168","Bouteloua repens","BORE2",NA,1,42,10
"169","Eragrostis lehmanniana","ERLE",NA,1,43,62
"170","Eragrostis lehmanniana","ERLE",NA,1,43,68
"171","Eragrostis lehmanniana","ERLE",NA,1,43,70
"172","Eragrostis lehmanniana","ERLE",NA,1,43,45
"173","Eragrostis lehmanniana","ERLE",NA,1,44,66
"174","Eragrostis lehmanniana","ERLE",NA,1,44,70
"175","Eragrostis lehmanniana","ERLE",NA,1,44,65
"176","Eragrostis lehmanniana","ERLE",NA,1,44,59
"177","Eragrostis lehmanniana","ERLE",NA,1,45,65
"178","Eragrostis lehmanniana","ERLE",NA,1,45,73
"179","Eragrostis lehmanniana","ERLE",NA,1,45,67
"180","Eragrostis lehmanniana","ERLE",NA,1,45,58
"181","Bouteloua repens","BORE2",NA,1,46,4
"182","Bouteloua repens","BORE2",NA,1,46,7
"183","Bouteloua repens","BORE2",NA,1,46,3
"184","Bouteloua repens","BORE2",NA,1,46,2
"185","Aristida","ARIST",NA,1,47,26
"186","Aristida","ARIST",NA,1,47,34
"187","Aristida","ARIST",NA,1,47,31
"188","Aristida","ARIST",NA,1,47,26
"189","Eragrostis lehmanniana","ERLE",NA,1,48,69
"190","Eragrostis lehmanniana","ERLE",NA,1,48,68
"191","Eragrostis lehmanniana","ERLE",NA,1,48,68
"192","Eragrostis lehmanniana","ERLE",NA,1,48,70
"193","Aristida","ARIST",NA,1,49,26
"194","Aristida","ARIST",NA,1,49,27
"195","Aristida","ARIST",NA,1,49,30
"196","Aristida","ARIST",NA,1,49,24
"197","Bouteloua repens","BORE2",NA,1,50,42
"198","Bouteloua repens","BORE2",NA,1,50,24
"199","Bouteloua repens","BORE2",NA,1,50,34
"200","Bouteloua repens","BORE2",NA,1,50,22
"201","Bouteloua repens","BORE2",NA,1,51,27
"202","Bouteloua repens","BORE2",NA,1,51,22.5
"203","Bouteloua repens","BORE2",NA,1,51,17.5
"204","Bouteloua repens","BORE2",NA,1,51,14
"205","Bouteloua repens","BORE2",NA,1,52,37
"206","Bouteloua repens","BORE2",NA,1,52,35
"207","Bouteloua repens","BORE2",NA,1,52,36
"208","Bouteloua repens","BORE2",NA,1,52,32
"209","Bouteloua repens","BORE2",NA,1,53,34
"210","Bouteloua repens","BORE2",NA,1,53,37
"211","Bouteloua repens","BORE2",NA,1,53,26
"212","Bouteloua repens","BORE2",NA,1,53,41
"213","Bouteloua repens","BORE2",NA,1,54,2
"214","Bouteloua repens","BORE2",NA,1,54,5
"215","Bouteloua repens","BORE2",NA,1,54,14
"216","Bouteloua repens","BORE2",NA,1,54,5.5
"217","Aristida","ARIST",NA,1,55,5
"218","Aristida","ARIST",NA,1,55,3
"219","Aristida","ARIST",NA,1,55,2
"220","Aristida","ARIST",NA,1,55,5
"221","Eragrostis lehmanniana","ERLE",NA,1,56,58
"222","Eragrostis lehmanniana","ERLE",NA,1,56,56
"223","Eragrostis lehmanniana","ERLE",NA,1,56,44
"224","Eragrostis lehmanniana","ERLE",NA,1,56,42
"225","Bouteloua repens","BORE2",NA,1,57,7
"226","Bouteloua repens","BORE2",NA,1,57,6
"227","Bouteloua repens","BORE2",NA,1,57,2
"228","Bouteloua repens","BORE2",NA,1,57,2
"229","Digitaria californica","DICA8",NA,1,58,5
"230","Digitaria californica","DICA8",NA,1,58,4
"231","Digitaria californica","DICA8",NA,1,58,4
"232","Digitaria californica","DICA8",NA,1,58,5
"233","Digitaria californica","DICA8",NA,1,59,5
"234","Digitaria californica","DICA8",NA,1,59,3
"235","Digitaria californica","DICA8",NA,1,59,3
"236","Digitaria californica","DICA8",NA,1,59,16
"237","Eragrostis lehmanniana","ERLE",NA,1,60,7
"238","Eragrostis lehmanniana","ERLE",NA,1,60,5
"239","Eragrostis lehmanniana","ERLE",NA,1,60,3
"240","Eragrostis lehmanniana","ERLE",NA,1,60,3
"241","Eragrostis lehmanniana","ERLE",NA,1,61,3
"242","Eragrostis lehmanniana","ERLE",NA,1,61,2
"243","Eragrostis lehmanniana","ERLE",NA,1,61,2
"244","Eragrostis lehmanniana","ERLE",NA,1,61,1
"245","Bouteloua repens","BORE2",NA,1,62,8
"246","Bouteloua repens","BORE2",NA,1,62,8
"247","Bouteloua repens","BORE2",NA,1,62,7
"248","Bouteloua repens","BORE2",NA,1,62,6
"249","Aristida","ARIST",NA,1,63,26
"250","Aristida","ARIST",NA,1,63,25
"251","Aristida","ARIST",NA,1,63,30
"252","Aristida","ARIST",NA,1,63,23
"253","Eragrostis lehmanniana","ERLE",NA,1,64,55
"254","Eragrostis lehmanniana","ERLE",NA,1,64,61
"255","Eragrostis lehmanniana","ERLE",NA,1,64,52
"256","Eragrostis lehmanniana","ERLE",NA,1,64,56.5
"257","Eragrostis lehmanniana","ERLE",NA,1,65,14
"258","Eragrostis lehmanniana","ERLE",NA,1,65,12
"259","Eragrostis lehmanniana","ERLE",NA,1,65,20
"260","Eragrostis lehmanniana","ERLE",NA,1,65,11
"261","Heteropogon contortus","HECO10",NA,1,66,56
"262","Heteropogon contortus","HECO10",NA,1,66,59
"263","Heteropogon contortus","HECO10",NA,1,66,56
"264","Heteropogon contortus","HECO10",NA,1,66,55
"265","Heteropogon contortus","HECO10",NA,1,67,42
"266","Heteropogon contortus","HECO10",NA,1,67,58
"267","Heteropogon contortus","HECO10",NA,1,67,60
"268","Heteropogon contortus","HECO10",NA,1,67,61
"269","Heteropogon contortus","HECO10",NA,1,68,24
"270","Heteropogon contortus","HECO10",NA,1,68,26.5
"271","Heteropogon contortus","HECO10",NA,1,68,33
"272","Heteropogon contortus","HECO10",NA,1,68,32.5
"273","Eragrostis lehmanniana","ERLE",NA,1,69,59
"274","Eragrostis lehmanniana","ERLE",NA,1,69,63
"275","Eragrostis lehmanniana","ERLE",NA,1,69,47
"276","Eragrostis lehmanniana","ERLE",NA,1,69,52
"277","Bouteloua repens","BORE2",NA,1,70,34.5
"278","Bouteloua repens","BORE2",NA,1,70,29.5
"279","Bouteloua repens","BORE2",NA,1,70,30
"280","Bouteloua repens","BORE2",NA,1,70,21
"281","Bouteloua repens","BORE2",NA,1,71,32
"282","Bouteloua repens","BORE2",NA,1,71,39.5
"283","Bouteloua repens","BORE2",NA,1,71,33
"284","Bouteloua repens","BORE2",NA,1,71,29
"285","Aristida","ARIST",NA,1,72,34
"286","Aristida","ARIST",NA,1,72,29
"287","Aristida","ARIST",NA,1,72,31
"288","Aristida","ARIST",NA,1,72,30
"289","Eragrostis lehmanniana","ERLE",NA,1,73,57
"290","Bouteloua repens","BORE2",NA,1,73,56
"291","Eragrostis lehmanniana","ERLE",NA,1,73,34
"292","Eragrostis lehmanniana","ERLE",NA,1,73,27
"293","Aristida","ARIST",NA,1,74,44
"294","Aristida","ARIST",NA,1,74,26
"295","Aristida","ARIST",NA,1,74,29
"296","Aristida","ARIST",NA,1,74,29
"297","Bouteloua repens","BORE2",NA,1,75,26
"298","Bouteloua repens","BORE2",NA,1,75,16
"299","Bouteloua repens","BORE2",NA,1,75,17
"300","Bouteloua repens","BORE2",NA,1,75,16
"301","Bouteloua repens","BORE2",NA,1,76,23
"302","Bouteloua repens","BORE2",NA,1,76,19.5
"303","Bouteloua repens","BORE2",NA,1,76,23.5
"304","Bouteloua repens","BORE2",NA,1,76,16
"305","Bouteloua repens","BORE2",NA,1,77,10
"306","Bouteloua repens","BORE2",NA,1,77,25
"307","Bouteloua repens","BORE2",NA,1,77,9.5
"308","Bouteloua repens","BORE2",NA,1,77,9.5
"309","Aristida","ARIST",NA,1,78,27
"310","Aristida","ARIST",NA,1,78,29
"311","Aristida","ARIST",NA,1,78,26
"312","Aristida","ARIST",NA,1,78,32
"313","Aristida","ARIST",NA,1,79,62
"314","Aristida","ARIST",NA,1,79,37
"315","Aristida","ARIST",NA,1,79,34
"316","Aristida","ARIST",NA,1,79,23
"317","Eragrostis lehmanniana","ERLE",NA,1,80,62
"318","Eragrostis lehmanniana","ERLE",NA,1,80,59
"319","Eragrostis lehmanniana","ERLE",NA,1,80,61
"320","Eragrostis lehmanniana","ERLE",NA,1,80,57.5
"321","Aristida","ARIST",NA,1,81,24
"322","Aristida","ARIST",NA,1,81,23
"323","Aristida","ARIST",NA,1,81,24
"324","Aristida","ARIST",NA,1,81,23
"325","Aristida","ARIST",NA,1,82,35
"326","Aristida","ARIST",NA,1,82,24
"327","Aristida","ARIST",NA,1,82,22
"328","Aristida","ARIST",NA,1,82,21
"329","Aristida","ARIST",NA,1,83,19
"330","Aristida","ARIST",NA,1,83,20
"331","Aristida","ARIST",NA,1,83,15
"332","Aristida","ARIST",NA,1,83,17
"333","Bouteloua repens","BORE2",NA,1,84,1.5
"334","Bouteloua repens","BORE2",NA,1,84,0.5
"335","Bouteloua repens","BORE2",NA,1,84,1.5
"336","Bouteloua repens","BORE2",NA,1,84,1
"337","Bouteloua repens","BORE2",NA,1,85,14.5
"338","Bouteloua repens","BORE2",NA,1,85,11
"339","Bouteloua repens","BORE2",NA,1,85,30
"340","Bouteloua repens","BORE2",NA,1,85,24
"341","Eragrostis lehmanniana","ERLE",NA,1,86,5
"342","Eragrostis lehmanniana","ERLE",NA,1,86,5.5
"343","Eragrostis lehmanniana","ERLE",NA,1,86,6
"344","Eragrostis lehmanniana","ERLE",NA,1,86,6
"345","Bouteloua repens","BORE2",NA,1,87,14
"346","Bouteloua repens","BORE2",NA,1,87,19.5
"347","Bouteloua repens","BORE2",NA,1,87,17
"348","Bouteloua repens","BORE2",NA,1,87,13
"349","Bouteloua repens","BORE2",NA,1,88,39
"350","Bouteloua repens","BORE2",NA,1,88,29.5
"351","Bouteloua repens","BORE2",NA,1,88,8.5
"352","Bouteloua repens","BORE2",NA,1,88,8
"353","Bouteloua repens","BORE2",NA,1,89,54
"354","Bouteloua repens","BORE2",NA,1,89,39
"355","Bouteloua repens","BORE2",NA,1,89,38
"356","Bouteloua repens","BORE2",NA,1,89,23
"357","Bouteloua repens","BORE2",NA,1,90,7
"358","Bouteloua repens","BORE2",NA,1,90,12
"359","Bouteloua repens","BORE2",NA,1,90,41
