"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,8
"2","Eragrostis lehmanniana","ERLE",NA,1,1,7
"3","Eragrostis lehmanniana","ERLE",NA,1,1,9
"4","Eragrostis lehmanniana","ERLE",NA,1,1,17
"5","Eragrostis lehmanniana","ERLE",NA,1,2,28
"6","Eragrostis lehmanniana","ERLE",NA,1,2,8
"7","Eragrostis lehmanniana","ERLE",NA,1,2,53
"8","Eragrostis lehmanniana","ERLE",NA,1,2,7
"9","Eragrostis lehmanniana","ERLE",NA,1,3,9
"10","Eragrostis lehmanniana","ERLE",NA,1,3,9.5
"11","Eragrostis lehmanniana","ERLE",NA,1,3,13
"12","Eragrostis lehmanniana","ERLE",NA,1,3,33
"13","Eragrostis lehmanniana","ERLE",NA,1,4,56
"14","Eragrostis lehmanniana","ERLE",NA,1,4,25
"15","Eragrostis lehmanniana","ERLE",NA,1,4,39
"16","Eragrostis lehmanniana","ERLE",NA,1,4,11
"17","Eragrostis lehmanniana","ERLE",NA,1,5,59
"18","Eragrostis lehmanniana","ERLE",NA,1,5,51
"19","Eragrostis lehmanniana","ERLE",NA,1,5,19
"20","Eragrostis lehmanniana","ERLE",NA,1,5,39
"21","Eragrostis lehmanniana","ERLE",NA,1,6,24
"22","Eragrostis lehmanniana","ERLE",NA,1,6,69
"23","Eragrostis lehmanniana","ERLE",NA,1,6,5
"24","Eragrostis lehmanniana","ERLE",NA,1,6,6
"25","Bouteloua repens","BORE2",NA,1,7,22
"26","Bouteloua repens","BORE2",NA,1,7,8.5
"27","Bouteloua repens","BORE2",NA,1,7,8.5
"28","Bouteloua repens","BORE2",NA,1,7,7
"29","Bouteloua repens","BORE2",NA,1,8,18
"30","Bouteloua repens","BORE2",NA,1,8,10
"31","Bouteloua repens","BORE2",NA,1,8,9
"32","Bouteloua repens","BORE2",NA,1,8,9
"33","Bouteloua repens","BORE2",NA,1,9,15
"34","Bouteloua repens","BORE2",NA,1,9,9
"35","Bouteloua repens","BORE2",NA,1,9,11
"36","Bouteloua repens","BORE2",NA,1,9,12
"37","Bouteloua repens","BORE2",NA,1,10,38
"38","Bouteloua repens","BORE2",NA,1,10,37
"39","Bouteloua repens","BORE2",NA,1,10,35
"40","Bouteloua repens","BORE2",NA,1,10,12
"41","Eragrostis lehmanniana","ERLE",NA,1,11,68
"42","Eragrostis lehmanniana","ERLE",NA,1,11,16
"43","Eragrostis lehmanniana","ERLE",NA,1,11,5
"44","Eragrostis lehmanniana","ERLE",NA,1,11,68
"45","Bouteloua repens","BORE2",NA,1,12,34
"46","Bouteloua repens","BORE2",NA,1,12,32
"47","Bouteloua repens","BORE2",NA,1,12,28
"48","Bouteloua repens","BORE2",NA,1,12,10
"49","Bouteloua repens","BORE2",NA,1,13,6
"50","Bouteloua repens","BORE2",NA,1,13,4
"51","Bouteloua repens","BORE2",NA,1,13,8
"52","Bouteloua repens","BORE2",NA,1,13,3
"53","Bouteloua repens","BORE2",NA,1,14,7
"54","Bouteloua repens","BORE2",NA,1,14,2.5
"55","Bouteloua repens","BORE2",NA,1,14,2
"56","Bouteloua repens","BORE2",NA,1,14,5.5
"57","Bouteloua repens","BORE2",NA,1,15,9
"58","Bouteloua repens","BORE2",NA,1,15,6
"59","Bouteloua repens","BORE2",NA,1,15,13
"60","Bouteloua repens","BORE2",NA,1,15,24
"61","Bouteloua repens","BORE2",NA,1,16,23
"62","Bouteloua repens","BORE2",NA,1,16,25.5
"63","Bouteloua repens","BORE2",NA,1,16,10
"64","Bouteloua repens","BORE2",NA,1,16,22
"65","Bouteloua repens","BORE2",NA,1,17,23
"66","Bouteloua repens","BORE2",NA,1,17,5
"67","Bouteloua repens","BORE2",NA,1,17,15.5
"68","Bouteloua repens","BORE2",NA,1,17,25
"69","Eragrostis lehmanniana","ERLE",NA,1,18,46
"70","Eragrostis lehmanniana","ERLE",NA,1,18,51
"71","Eragrostis lehmanniana","ERLE",NA,1,18,45
"72","Eragrostis lehmanniana","ERLE",NA,1,18,51
"73","Bouteloua repens","BORE2",NA,1,19,4
"74","Bouteloua repens","BORE2",NA,1,19,8
"75","Bouteloua repens","BORE2",NA,1,19,6
"76","Bouteloua repens","BORE2",NA,1,19,3
"77","Eragrostis lehmanniana","ERLE",NA,1,20,41
"78","Eragrostis lehmanniana","ERLE",NA,1,20,11
"79","Eragrostis lehmanniana","ERLE",NA,1,20,54
"80","Eragrostis lehmanniana","ERLE",NA,1,20,8
"81","Aristida","ARIST",NA,1,21,18
"82","Aristida","ARIST",NA,1,21,15.5
"83","Aristida","ARIST",NA,1,21,16
"84","Aristida","ARIST",NA,1,21,15
"85","Eragrostis lehmanniana","ERLE",NA,1,22,4
"86","Eragrostis lehmanniana","ERLE",NA,1,22,5
"87","Eragrostis lehmanniana","ERLE",NA,1,22,5.5
"88","Eragrostis lehmanniana","ERLE",NA,1,22,7
"89","Bouteloua repens","BORE2",NA,1,23,7.5
"90","Bouteloua repens","BORE2",NA,1,23,9
"91","Bouteloua repens","BORE2",NA,1,23,9
"92","Bouteloua repens","BORE2",NA,1,23,12
"93","Eragrostis lehmanniana","ERLE",NA,1,24,12
"94","Eragrostis lehmanniana","ERLE",NA,1,24,4
"95","Eragrostis lehmanniana","ERLE",NA,1,24,12
"96","Eragrostis lehmanniana","ERLE",NA,1,24,41
"97","Aristida","ARIST",NA,1,25,24
"98","Aristida","ARIST",NA,1,25,12
"99","Aristida","ARIST",NA,1,25,8
"100","Aristida","ARIST",NA,1,25,6
"101","Bouteloua repens","BORE2",NA,1,26,8
"102","Bouteloua repens","BORE2",NA,1,26,5
"103","Bouteloua repens","BORE2",NA,1,26,5
"104","Bouteloua repens","BORE2",NA,1,26,5
"105","Eragrostis lehmanniana","ERLE",NA,1,27,7
"106","Eragrostis lehmanniana","ERLE",NA,1,27,6
"107","Eragrostis lehmanniana","ERLE",NA,1,27,6.5
"108","Eragrostis lehmanniana","ERLE",NA,1,27,8.5
"109","Bouteloua repens","BORE2",NA,1,28,8
"110","Bouteloua repens","BORE2",NA,1,28,7
"111","Bouteloua repens","BORE2",NA,1,28,8.5
"112","Bouteloua repens","BORE2",NA,1,28,10.5
"113","Bouteloua repens","BORE2",NA,1,29,11
"114","Bouteloua repens","BORE2",NA,1,29,22
"115","Bouteloua repens","BORE2",NA,1,29,15
"116","Bouteloua repens","BORE2",NA,1,29,9
"117","Bouteloua chondrosioides","BOCH",NA,1,30,9
"118","Bouteloua chondrosioides","BOCH",NA,1,30,5
"119","Bouteloua chondrosioides","BOCH",NA,1,30,4
"120","Bouteloua chondrosioides","BOCH",NA,1,30,12
"121","Bouteloua repens","BORE2",NA,1,31,6
"122","Bouteloua repens","BORE2",NA,1,31,5.5
"123","Bouteloua repens","BORE2",NA,1,31,5
"124","Bouteloua repens","BORE2",NA,1,31,6.5
"125","Bouteloua chondrosioides","BOCH",NA,1,32,19.5
"126","Bouteloua chondrosioides","BOCH",NA,1,32,11
"127","Bouteloua chondrosioides","BOCH",NA,1,32,10
"128","Bouteloua chondrosioides","BOCH",NA,1,32,7
"129","Bouteloua chondrosioides","BOCH",NA,1,33,58
"130","Bouteloua chondrosioides","BOCH",NA,1,33,53
"131","Bouteloua chondrosioides","BOCH",NA,1,33,51
"132","Bouteloua chondrosioides","BOCH",NA,1,33,61
"133","Bouteloua chondrosioides","BOCH",NA,1,34,6
"134","Bouteloua chondrosioides","BOCH",NA,1,34,5
"135","Bouteloua chondrosioides","BOCH",NA,1,34,5
"136","Bouteloua chondrosioides","BOCH",NA,1,34,4
"137","Bouteloua repens","BORE2",NA,1,35,8
"138","Bouteloua repens","BORE2",NA,1,35,7
"139","Bouteloua repens","BORE2",NA,1,35,3
"140","Bouteloua repens","BORE2",NA,1,35,3
"141","Bouteloua repens","BORE2",NA,1,36,29
"142","Bouteloua repens","BORE2",NA,1,36,19
"143","Bouteloua repens","BORE2",NA,1,36,25
"144","Bouteloua repens","BORE2",NA,1,36,27
"145","Bouteloua repens","BORE2",NA,1,37,4
"146","Bouteloua repens","BORE2",NA,1,37,1.5
"147","Bouteloua repens","BORE2",NA,1,37,3
"148","Bouteloua repens","BORE2",NA,1,37,2
"149","Bouteloua repens","BORE2",NA,1,38,5
"150","Bouteloua repens","BORE2",NA,1,38,3
"151","Bouteloua repens","BORE2",NA,1,38,4
"152","Bouteloua repens","BORE2",NA,1,38,6.5
"153","Bouteloua repens","BORE2",NA,1,39,7
"154","Bouteloua repens","BORE2",NA,1,39,8.5
"155","Bouteloua repens","BORE2",NA,1,39,10
"156","Bouteloua repens","BORE2",NA,1,39,11
"157","Bouteloua repens","BORE2",NA,1,40,4
"158","Bouteloua repens","BORE2",NA,1,40,4
"159","Bouteloua repens","BORE2",NA,1,40,5
"160","Bouteloua repens","BORE2",NA,1,40,4
"161","Bouteloua repens","BORE2",NA,1,41,28
"162","Bouteloua repens","BORE2",NA,1,41,27
"163","Bouteloua repens","BORE2",NA,1,41,24
"164","Bouteloua repens","BORE2",NA,1,41,17
"165","Bouteloua repens","BORE2",NA,1,42,1
"166","Bouteloua repens","BORE2",NA,1,42,1
"167","Bouteloua repens","BORE2",NA,1,42,0.5
"168","Bouteloua repens","BORE2",NA,1,42,0.5
"169","Aristida","ARIST",NA,1,43,31
"170","Aristida","ARIST",NA,1,43,19
"171","Aristida","ARIST",NA,1,43,14
"172","Aristida","ARIST",NA,1,43,20
"173","Eragrostis lehmanniana","ERLE",NA,1,44,9
"174","Eragrostis lehmanniana","ERLE",NA,1,44,63
"175","Eragrostis lehmanniana","ERLE",NA,1,44,28
"176","Eragrostis lehmanniana","ERLE",NA,1,44,69
"177","Bouteloua chondrosioides","BOCH",NA,1,45,8
"178","Bouteloua chondrosioides","BOCH",NA,1,45,6.5
"179","Bouteloua chondrosioides","BOCH",NA,1,45,7
"180","Bouteloua chondrosioides","BOCH",NA,1,45,8
"181","Muhlenbergia porteri","MUPO2",NA,1,46,14
"182","Muhlenbergia porteri","MUPO2",NA,1,46,13
"183","Muhlenbergia porteri","MUPO2",NA,1,46,10
"184","Muhlenbergia porteri","MUPO2",NA,1,46,6
"185","Aristida","ARIST",NA,1,47,25
"186","Aristida","ARIST",NA,1,47,22
"187","Aristida","ARIST",NA,1,47,28
"188","Aristida","ARIST",NA,1,47,22
"189","Aristida","ARIST",NA,1,48,15
"190","Aristida","ARIST",NA,1,48,19
"191","Aristida","ARIST",NA,1,48,20
"192","Aristida","ARIST",NA,1,48,27
"193","Aristida","ARIST",NA,1,49,15
"194","Aristida","ARIST",NA,1,49,14
"195","Aristida","ARIST",NA,1,49,11
"196","Aristida","ARIST",NA,1,49,55
"197","Bouteloua repens","BORE2",NA,1,50,9
"198","Bouteloua repens","BORE2",NA,1,50,3
"199","Bouteloua repens","BORE2",NA,1,50,2
"200","Bouteloua repens","BORE2",NA,1,50,5
"201","Aristida","ARIST",NA,1,51,11
"202","Aristida","ARIST",NA,1,51,37
"203","Aristida","ARIST",NA,1,51,59
"204","Aristida","ARIST",NA,1,51,38
"205","Aristida","ARIST",NA,1,52,29
"206","Aristida","ARIST",NA,1,52,39
"207","Aristida","ARIST",NA,1,52,33
"208","Aristida","ARIST",NA,1,52,34
"209","Eragrostis lehmanniana","ERLE",NA,1,53,45
"210","Eragrostis lehmanniana","ERLE",NA,1,53,36
"211","Eragrostis lehmanniana","ERLE",NA,1,53,10
"212","Eragrostis lehmanniana","ERLE",NA,1,53,37
