Sites,Date
12C_12A,11/29/2020
12C_1A,11/29/2020
12C_7,11/29/2020
12C_11A,11/30/2020
12C_4A,11/30/2020
12C_6,11/30/2020
12C_6A,11/30/2020
12C_2A,12/2/2020
12C_3A,12/2/2020
12C_5A,12/2/2020
12C_13A,12/9/2020
12C_2,12/9/2020
12C_4,12/9/2020
12C_7A,12/9/2020
12C_9A,12/13/2020
12C_10A,12/14/2020
12C_3,12/14/2020
12C_5,12/14/2020
12C_1,12/13/2020
