"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,13
"2","Eragrostis lehmanniana","ERLE",NA,1,1,12
"3","Eragrostis lehmanniana","ERLE",NA,1,1,9
"4","Eragrostis lehmanniana","ERLE",NA,1,1,15
"5","Eragrostis lehmanniana","ERLE",NA,1,2,58
"6","Eragrostis lehmanniana","ERLE",NA,1,2,18
"7","Eragrostis lehmanniana","ERLE",NA,1,2,13
"8","Eragrostis lehmanniana","ERLE",NA,1,2,12
"9","Eragrostis lehmanniana","ERLE",NA,1,3,35
"10","Eragrostis lehmanniana","ERLE",NA,1,3,13
"11","Eragrostis lehmanniana","ERLE",NA,1,3,6
"12","Eragrostis lehmanniana","ERLE",NA,1,3,2
"13","Eragrostis lehmanniana","ERLE",NA,1,4,14
"14","Eragrostis lehmanniana","ERLE",NA,1,4,7
"15","Eragrostis lehmanniana","ERLE",NA,1,4,10
"16","Eragrostis lehmanniana","ERLE",NA,1,4,6
"17","Eragrostis lehmanniana","ERLE",NA,1,5,8
"18","Eragrostis lehmanniana","ERLE",NA,1,5,8
"19","Eragrostis lehmanniana","ERLE",NA,1,5,11
"20","Eragrostis lehmanniana","ERLE",NA,1,5,8
"21","Eragrostis lehmanniana","ERLE",NA,1,6,57
"22","Eragrostis lehmanniana","ERLE",NA,1,6,8
"23","Eragrostis lehmanniana","ERLE",NA,1,6,10
"24","Eragrostis lehmanniana","ERLE",NA,1,6,8
"25","Eragrostis lehmanniana","ERLE",NA,1,7,21
"26","Eragrostis lehmanniana","ERLE",NA,1,7,25.5
"27","Eragrostis lehmanniana","ERLE",NA,1,7,25
"28","Eragrostis lehmanniana","ERLE",NA,1,7,36
"29","Eragrostis lehmanniana","ERLE",NA,1,8,8
"30","Eragrostis lehmanniana","ERLE",NA,1,8,38
"31","Eragrostis lehmanniana","ERLE",NA,1,8,13
"32","Eragrostis lehmanniana","ERLE",NA,1,8,12
"33","Eragrostis lehmanniana","ERLE",NA,1,9,55
"34","Eragrostis lehmanniana","ERLE",NA,1,9,53
"35","Eragrostis lehmanniana","ERLE",NA,1,9,32
"36","Eragrostis lehmanniana","ERLE",NA,1,9,21
"37","Eragrostis lehmanniana","ERLE",NA,1,10,51
"38","Eragrostis lehmanniana","ERLE",NA,1,10,67
"39","Eragrostis lehmanniana","ERLE",NA,1,10,25
"40","Eragrostis lehmanniana","ERLE",NA,1,10,18
"41","Eragrostis lehmanniana","ERLE",NA,1,11,49
"42","Eragrostis lehmanniana","ERLE",NA,1,11,9
"43","Eragrostis lehmanniana","ERLE",NA,1,11,10
"44","Eragrostis lehmanniana","ERLE",NA,1,11,12
"45","Eragrostis lehmanniana","ERLE",NA,1,12,11
"46","Eragrostis lehmanniana","ERLE",NA,1,12,4
"47","Eragrostis lehmanniana","ERLE",NA,1,12,7
"48","Eragrostis lehmanniana","ERLE",NA,1,12,4.5
"49","Eragrostis lehmanniana","ERLE",NA,1,13,11
"50","Eragrostis lehmanniana","ERLE",NA,1,13,7
"51","Eragrostis lehmanniana","ERLE",NA,1,13,4
"52","Eragrostis lehmanniana","ERLE",NA,1,13,4.5
"53","Eragrostis lehmanniana","ERLE",NA,1,14,7
"54","Eragrostis lehmanniana","ERLE",NA,1,14,7
"55","Eragrostis lehmanniana","ERLE",NA,1,14,8
"56","Eragrostis lehmanniana","ERLE",NA,1,14,24
"57","Eragrostis lehmanniana","ERLE",NA,1,15,8
"58","Eragrostis lehmanniana","ERLE",NA,1,15,4
