"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Class End-Point"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,30
"2","Eragrostis lehmanniana","ERLE",NA,1,2,30
"3","Eragrostis lehmanniana","ERLE",NA,1,3,70
"4","Eragrostis lehmanniana","ERLE",NA,1,4,50
"5","Eragrostis lehmanniana","ERLE",NA,1,5,50
"6","Eragrostis lehmanniana","ERLE",NA,1,6,30
"7","Eragrostis lehmanniana","ERLE",NA,1,7,10
"8","Eragrostis lehmanniana","ERLE",NA,1,8,50
"9","Eragrostis lehmanniana","ERLE",NA,1,9,10
"10","Eragrostis lehmanniana","ERLE",NA,1,10,10
"11","Eragrostis lehmanniana","ERLE",NA,1,11,30
"12","Eragrostis lehmanniana","ERLE",NA,1,12,70
"13","Eragrostis lehmanniana","ERLE",NA,1,13,70
"14","Eragrostis lehmanniana","ERLE",NA,1,14,70
"15","Eragrostis lehmanniana","ERLE",NA,1,15,70
"16","Eragrostis lehmanniana","ERLE",NA,1,16,90
"17","Aristida","ARIST",NA,1,17,10
"18","Aristida","ARIST",NA,1,18,50
"19","Aristida","ARIST",NA,1,19,50
"20","Eragrostis lehmanniana","ERLE",NA,1,20,90
"21","Aristida","ARIST",NA,1,21,0
"22","Eragrostis lehmanniana","ERLE",NA,1,22,90
"23","Eragrostis lehmanniana","ERLE",NA,1,23,90
"24","Eragrostis lehmanniana","ERLE",NA,1,24,70
"25","Eragrostis lehmanniana","ERLE",NA,1,25,90
"26","Eragrostis lehmanniana","ERLE",NA,1,26,0
"27","Eragrostis lehmanniana","ERLE",NA,1,27,90
"28","Bouteloua repens","BORE2",NA,1,28,30
"29","Eragrostis lehmanniana","ERLE",NA,1,29,50
"30","Eragrostis lehmanniana","ERLE",NA,1,30,30
"31","Bouteloua repens","BORE2",NA,1,31,10
"32","Eragrostis lehmanniana","ERLE",NA,1,32,90
"33","Bouteloua repens","BORE2",NA,1,33,0
"34","Bouteloua repens","BORE2",NA,1,34,0
"35","Bouteloua repens","BORE2",NA,1,35,0
"36","Bouteloua repens","BORE2",NA,1,36,10
"37","Bouteloua repens","BORE2",NA,1,37,0
"38","Aristida","ARIST",NA,1,38,0
"39","Bouteloua repens","BORE2",NA,1,39,0
"40","Bouteloua repens","BORE2",NA,1,40,10
"41","Aristida","ARIST",NA,1,41,0
"42","Aristida","ARIST",NA,1,42,0
"43","Bouteloua repens","BORE2",NA,1,43,0
"44","Bouteloua repens","BORE2",NA,1,44,0
"45","Aristida","ARIST",NA,1,45,0
"46","Aristida","ARIST",NA,1,46,10
"47","Eragrostis lehmanniana","ERLE",NA,1,47,70
"48","Aristida","ARIST",NA,1,48,50
"49","Bouteloua repens","BORE2",NA,1,49,50
"50","Bouteloua rothrockii","BORO2",NA,1,50,0
"51","Bouteloua repens","BORE2",NA,1,51,0
"52","Aristida","ARIST",NA,1,52,0
"53","Aristida","ARIST",NA,1,53,0
"54","Bouteloua rothrockii","BORO2",NA,1,54,0
"55","Bouteloua rothrockii","BORO2",NA,1,55,0
"56","Aristida","ARIST",NA,1,56,0
"57","Aristida","ARIST",NA,1,57,0
"58","Aristida","ARIST",NA,1,58,0
"59","Eragrostis lehmanniana","ERLE",NA,1,59,70
"60","Eragrostis lehmanniana","ERLE",NA,1,60,70
"61","Eragrostis lehmanniana","ERLE",NA,1,61,70
"62","Eragrostis lehmanniana","ERLE",NA,1,62,70
"63","Digitaria californica","DICA8",NA,1,63,0
"64","Eragrostis lehmanniana","ERLE",NA,1,64,70
"65","Eragrostis lehmanniana","ERLE",NA,1,65,70
"66","Eragrostis lehmanniana","ERLE",NA,1,66,30
"67","Digitaria californica","DICA8",NA,1,67,30
"68","Eragrostis lehmanniana","ERLE",NA,1,68,70
"69","Digitaria californica","DICA8",NA,1,69,0
"70","Digitaria californica","DICA8",NA,1,70,50
"71","Digitaria californica","DICA8",NA,1,71,70
"72","Digitaria californica","DICA8",NA,1,72,0
"73","Setaria macrostachya","SEMA5",NA,1,73,70
"74","Setaria macrostachya","SEMA5",NA,1,74,70
"75","Digitaria californica","DICA8",NA,1,75,90
"76","Aristida","ARIST",NA,1,76,50
"77","Aristida","ARIST",NA,1,77,30
"78","Muhlenbergia porteri","MUPO2",NA,1,78,50
"79","Eragrostis lehmanniana","ERLE",NA,1,79,90
"80","Digitaria californica","DICA8",NA,1,80,30
"81","Digitaria californica","DICA8",NA,1,81,70
"82","Setaria macrostachya","SEMA5",NA,1,82,70
"83","Digitaria californica","DICA8",NA,1,83,70
"84","Digitaria californica","DICA8",NA,1,84,50
"85","Digitaria californica","DICA8",NA,1,85,50
"86","Digitaria californica","DICA8",NA,1,86,50
"87","Setaria macrostachya","SEMA5",NA,1,87,10
"88","Setaria macrostachya","SEMA5",NA,1,88,10
"89","Setaria macrostachya","SEMA5",NA,1,89,70
"90","Bouteloua rothrockii","BORO2",NA,1,90,10
"91","Digitaria californica","DICA8",NA,1,91,70
"92","Muhlenbergia porteri","MUPO2",NA,1,92,10
"93","Muhlenbergia porteri","MUPO2",NA,1,93,30
"94","Digitaria californica","DICA8",NA,1,94,50
"95","Digitaria californica","DICA8",NA,1,95,70
"96","Digitaria californica","DICA8",NA,1,96,50
"97","Aristida","ARIST",NA,1,97,0
"98","Eragrostis lehmanniana","ERLE",NA,1,98,50
"99","Eragrostis lehmanniana","ERLE",NA,1,99,50
"100","Digitaria californica","DICA8",NA,1,100,50
