"","X","Species.Category.Name","Species.Category.Code","Qualifier","Transect","Sample","Height"
"1",1,"Bouteloua repens","BORE2",NA,1,1,7.62
"2",2,"Bouteloua repens","BORE2",NA,1,1,7.62
"3",3,"Bouteloua repens","BORE2",NA,1,1,3.81
"4",4,"Bouteloua repens","BORE2",NA,1,1,5.08
"5",5,"Bouteloua repens","BORE2",NA,1,2,6.35
"6",6,"Bouteloua repens","BORE2",NA,1,2,5.08
"7",7,"Bouteloua repens","BORE2",NA,1,2,3.81
"8",8,"Bouteloua repens","BORE2",NA,1,2,2.54
"9",9,"Bouteloua repens","BORE2",NA,1,3,7.62
"10",10,"Bouteloua repens","BORE2",NA,1,3,5.08
"11",11,"Bouteloua repens","BORE2",NA,1,3,5.08
"12",12,"Bouteloua repens","BORE2",NA,1,3,2.54
"13",13,"Bouteloua repens","BORE2",NA,1,4,10.16
"14",14,"Bouteloua repens","BORE2",NA,1,4,5.08
"15",15,"Bouteloua repens","BORE2",NA,1,4,6.35
"16",16,"Bouteloua repens","BORE2",NA,1,4,7.62
"17",17,"Bouteloua repens","BORE2",NA,1,5,12.7
"18",18,"Bouteloua repens","BORE2",NA,1,5,6.35
"19",19,"Bouteloua repens","BORE2",NA,1,5,6.35
"20",20,"Bouteloua repens","BORE2",NA,1,5,2.54
"21",21,"Eragrostis lehmanniana","ERLE",NA,1,6,27.94
"22",22,"Eragrostis lehmanniana","ERLE",NA,1,6,25.4
"23",23,"Eragrostis lehmanniana","ERLE",NA,1,6,22.86
"24",24,"Eragrostis lehmanniana","ERLE",NA,1,6,12.7
"25",25,"Bouteloua repens","BORE2",NA,1,7,17.78
"26",26,"Bouteloua repens","BORE2",NA,1,7,5.08
"27",27,"Bouteloua repens","BORE2",NA,1,7,3.81
"28",28,"Bouteloua repens","BORE2",NA,1,7,5.08
"29",29,"Eragrostis lehmanniana","ERLE",NA,1,8,39.37
"30",30,"Eragrostis lehmanniana","ERLE",NA,1,8,53.34
"31",31,"Eragrostis lehmanniana","ERLE",NA,1,8,45.72
"32",32,"Eragrostis lehmanniana","ERLE",NA,1,8,58.42
"33",33,"Bouteloua repens","BORE2",NA,1,9,2.54
"34",34,"Bouteloua repens","BORE2",NA,1,9,3.81
"35",35,"Bouteloua repens","BORE2",NA,1,9,5.08
"36",36,"Bouteloua repens","BORE2",NA,1,9,5.08
"37",37,"Eragrostis lehmanniana","ERLE",NA,1,10,25.4
"38",38,"Eragrostis lehmanniana","ERLE",NA,1,10,27.94
"39",39,"Eragrostis lehmanniana","ERLE",NA,1,10,58.42
"40",40,"Eragrostis lehmanniana","ERLE",NA,1,10,20.32
"41",41,"Digitaria californica","DICA8",NA,1,11,10.16
"42",42,"Digitaria californica","DICA8",NA,1,11,6.35
"43",43,"Digitaria californica","DICA8",NA,1,11,7.62
"44",44,"Digitaria californica","DICA8",NA,1,11,7.62
"45",45,"Eragrostis lehmanniana","ERLE",NA,1,12,38.1
"46",46,"Eragrostis lehmanniana","ERLE",NA,1,12,20.32
"47",47,"Eragrostis lehmanniana","ERLE",NA,1,12,20.32
"48",48,"Eragrostis lehmanniana","ERLE",NA,1,12,20.32
"49",49,"Eragrostis lehmanniana","ERLE",NA,1,13,15.24
"50",50,"Eragrostis lehmanniana","ERLE",NA,1,13,15.24
"51",51,"Eragrostis lehmanniana","ERLE",NA,1,13,20.32
"52",52,"Eragrostis lehmanniana","ERLE",NA,1,13,15.24
"53",53,"Bouteloua curtipendula","BOCU",NA,1,14,76.2
"54",54,"Bouteloua curtipendula","BOCU",NA,1,14,68.58
"55",55,"Bouteloua curtipendula","BOCU",NA,1,14,71.12
"56",56,"Bouteloua curtipendula","BOCU",NA,1,14,68.58
"57",57,"Eragrostis lehmanniana","ERLE",NA,1,15,29.21
"58",58,"Eragrostis lehmanniana","ERLE",NA,1,15,21.59
"59",59,"Eragrostis lehmanniana","ERLE",NA,1,15,25.4
"60",60,"Eragrostis lehmanniana","ERLE",NA,1,15,33.02
"61",61,"Eragrostis lehmanniana","ERLE",NA,1,16,5.08
"62",62,"Eragrostis lehmanniana","ERLE",NA,1,16,2.54
"63",63,"Eragrostis lehmanniana","ERLE",NA,1,16,2.54
"64",64,"Eragrostis lehmanniana","ERLE",NA,1,16,3.81
"65",65,"Aristida","ARIST",NA,1,17,40.64
"66",66,"Aristida","ARIST",NA,1,17,43.18
"67",67,"Aristida","ARIST",NA,1,17,36.83
"68",68,"Aristida","ARIST",NA,1,17,20.32
"69",69,"Eragrostis lehmanniana","ERLE",NA,1,18,7.62
"70",70,"Eragrostis lehmanniana","ERLE",NA,1,18,7.62
"71",71,"Eragrostis lehmanniana","ERLE",NA,1,18,7.62
"72",72,"Eragrostis lehmanniana","ERLE",NA,1,18,7.62
"73",73,"Eragrostis lehmanniana","ERLE",NA,1,19,7.62
"74",74,"Eragrostis lehmanniana","ERLE",NA,1,19,3.81
"75",75,"Eragrostis lehmanniana","ERLE",NA,1,19,2.54
"76",76,"Eragrostis lehmanniana","ERLE",NA,1,19,5.08
"77",77,"Eragrostis lehmanniana","ERLE",NA,1,20,8.89
"78",78,"Eragrostis lehmanniana","ERLE",NA,1,20,7.62
"79",79,"Eragrostis lehmanniana","ERLE",NA,1,20,7.62
"80",80,"Eragrostis lehmanniana","ERLE",NA,1,20,7.62
"81",81,"Eragrostis lehmanniana","ERLE",NA,1,21,10.16
"82",82,"Eragrostis lehmanniana","ERLE",NA,1,21,13.97
"83",83,"Eragrostis lehmanniana","ERLE",NA,1,21,12.7
"84",84,"Eragrostis lehmanniana","ERLE",NA,1,21,15.24
"85",85,"Digitaria californica","DICA8",NA,1,22,19.05
"86",86,"Digitaria californica","DICA8",NA,1,22,17.78
"87",87,"Digitaria californica","DICA8",NA,1,22,15.24
"88",88,"Digitaria californica","DICA8",NA,1,22,15.24
"89",89,"Digitaria californica","DICA8",NA,1,23,12.7
"90",90,"Digitaria californica","DICA8",NA,1,23,7.62
"91",91,"Digitaria californica","DICA8",NA,1,23,8.89
"92",92,"Digitaria californica","DICA8",NA,1,23,7.62
"93",93,"Digitaria californica","DICA8",NA,1,23,7.62
"94",94,"Digitaria californica","DICA8",NA,1,24,6.35
"95",95,"Digitaria californica","DICA8",NA,1,24,5.08
"96",96,"Digitaria californica","DICA8",NA,1,24,3.81
"97",97,"Digitaria californica","DICA8",NA,1,24,3.81
"98",98,"Eragrostis lehmanniana","ERLE",NA,1,25,6.35
"99",99,"Eragrostis lehmanniana","ERLE",NA,1,25,6.35
"100",100,"Eragrostis lehmanniana","ERLE",NA,1,25,2.54
"101",101,"Eragrostis lehmanniana","ERLE",NA,1,25,2.54
"102",102,"Eragrostis lehmanniana","ERLE",NA,1,26,6.35
"103",103,"Eragrostis lehmanniana","ERLE",NA,1,26,6.35
"104",104,"Eragrostis lehmanniana","ERLE",NA,1,26,2.54
"105",105,"Eragrostis lehmanniana","ERLE",NA,1,26,2.54
"106",106,"Eragrostis lehmanniana","ERLE",NA,1,27,11.43
"107",107,"Eragrostis lehmanniana","ERLE",NA,1,27,30.48
"108",108,"Eragrostis lehmanniana","ERLE",NA,1,27,7.62
"109",109,"Eragrostis lehmanniana","ERLE",NA,1,27,5.08
"110",110,"Eragrostis lehmanniana","ERLE",NA,1,28,3.81
"111",111,"Eragrostis lehmanniana","ERLE",NA,1,28,5.08
"112",112,"Eragrostis lehmanniana","ERLE",NA,1,28,5.08
"113",113,"Eragrostis lehmanniana","ERLE",NA,1,28,2.54
"114",114,"Eragrostis lehmanniana","ERLE",NA,1,29,12.7
"115",115,"Eragrostis lehmanniana","ERLE",NA,1,29,15.24
"116",116,"Eragrostis lehmanniana","ERLE",NA,1,29,11.43
"117",117,"Eragrostis lehmanniana","ERLE",NA,1,29,12.7
"118",118,"Eragrostis lehmanniana","ERLE",NA,1,30,10.16
"119",119,"Eragrostis lehmanniana","ERLE",NA,1,30,7.62
"120",120,"Eragrostis lehmanniana","ERLE",NA,1,30,5.08
"121",121,"Eragrostis lehmanniana","ERLE",NA,1,30,7.62
"122",122,"Eragrostis lehmanniana","ERLE",NA,1,31,12.7
"123",123,"Eragrostis lehmanniana","ERLE",NA,1,31,12.7
"124",124,"Eragrostis lehmanniana","ERLE",NA,1,31,55.88
"125",125,"Eragrostis lehmanniana","ERLE",NA,1,31,16.51
"126",126,"Aristida","ARIST",NA,1,32,17.78
