"","Species/Category Name","Species/Category Code","Qualifier","Transect","Sample","Height"
"1","Eragrostis lehmanniana","ERLE",NA,1,1,10
"2","Eragrostis lehmanniana","ERLE",NA,1,1,67
"3","Eragrostis lehmanniana","ERLE",NA,1,1,60.5
"4","Eragrostis lehmanniana","ERLE",NA,1,1,40
"5","Eragrostis lehmanniana","ERLE",NA,1,2,56
"6","Eragrostis lehmanniana","ERLE",NA,1,2,21.5
"7","Eragrostis lehmanniana","ERLE",NA,1,2,8
"8","Eragrostis lehmanniana","ERLE",NA,1,2,52
"9","Eragrostis lehmanniana","ERLE",NA,1,3,67
"10","Eragrostis lehmanniana","ERLE",NA,1,3,65.5
"11","Eragrostis lehmanniana","ERLE",NA,1,3,60
"12","Eragrostis lehmanniana","ERLE",NA,1,3,54
"13","Eragrostis lehmanniana","ERLE",NA,1,4,61
"14","Eragrostis lehmanniana","ERLE",NA,1,4,64
"15","Eragrostis lehmanniana","ERLE",NA,1,4,44
"16","Eragrostis lehmanniana","ERLE",NA,1,4,9
"17","Eragrostis lehmanniana","ERLE",NA,1,5,35
"18","Eragrostis lehmanniana","ERLE",NA,1,5,4
"19","Eragrostis lehmanniana","ERLE",NA,1,5,3
"20","Eragrostis lehmanniana","ERLE",NA,1,5,50
"21","Eragrostis lehmanniana","ERLE",NA,1,6,39
"22","Eragrostis lehmanniana","ERLE",NA,1,6,50
"23","Eragrostis lehmanniana","ERLE",NA,1,6,6
"24","Eragrostis lehmanniana","ERLE",NA,1,6,51
"25","Eragrostis lehmanniana","ERLE",NA,1,7,19
"26","Eragrostis lehmanniana","ERLE",NA,1,7,10
"27","Eragrostis lehmanniana","ERLE",NA,1,7,8
"28","Eragrostis lehmanniana","ERLE",NA,1,7,64
"29","Eragrostis lehmanniana","ERLE",NA,1,8,35
"30","Eragrostis lehmanniana","ERLE",NA,1,8,12
"31","Eragrostis lehmanniana","ERLE",NA,1,8,9
"32","Eragrostis lehmanniana","ERLE",NA,1,8,44
"33","Eragrostis lehmanniana","ERLE",NA,1,9,67
"34","Eragrostis lehmanniana","ERLE",NA,1,9,62
"35","Eragrostis lehmanniana","ERLE",NA,1,9,73
"36","Eragrostis lehmanniana","ERLE",NA,1,9,65
"37","Eragrostis lehmanniana","ERLE",NA,1,10,63
"38","Eragrostis lehmanniana","ERLE",NA,1,10,66
"39","Eragrostis lehmanniana","ERLE",NA,1,10,49
"40","Eragrostis lehmanniana","ERLE",NA,1,10,59.5
"41","Eragrostis lehmanniana","ERLE",NA,1,11,51
"42","Eragrostis lehmanniana","ERLE",NA,1,11,51
"43","Eragrostis lehmanniana","ERLE",NA,1,11,47.5
"44","Eragrostis lehmanniana","ERLE",NA,1,11,45
"45","Eragrostis lehmanniana","ERLE",NA,1,12,65
"46","Eragrostis lehmanniana","ERLE",NA,1,12,67
"47","Eragrostis lehmanniana","ERLE",NA,1,12,22.5
"48","Eragrostis lehmanniana","ERLE",NA,1,12,66
"49","Eragrostis lehmanniana","ERLE",NA,1,13,69
"50","Eragrostis lehmanniana","ERLE",NA,1,13,70
"51","Eragrostis lehmanniana","ERLE",NA,1,13,74
"52","Eragrostis lehmanniana","ERLE",NA,1,13,41
"53","Eragrostis lehmanniana","ERLE",NA,1,14,68
"54","Eragrostis lehmanniana","ERLE",NA,1,14,48
"55","Eragrostis lehmanniana","ERLE",NA,1,14,15
"56","Eragrostis lehmanniana","ERLE",NA,1,14,65
"57","Eragrostis lehmanniana","ERLE",NA,1,15,60
"58","Eragrostis lehmanniana","ERLE",NA,1,15,61
"59","Eragrostis lehmanniana","ERLE",NA,1,15,64
"60","Eragrostis lehmanniana","ERLE",NA,1,15,64
"61","Eragrostis lehmanniana","ERLE",NA,1,16,61
"62","Eragrostis lehmanniana","ERLE",NA,1,16,68
"63","Eragrostis lehmanniana","ERLE",NA,1,16,64
"64","Eragrostis lehmanniana","ERLE",NA,1,16,62
"65","Eragrostis lehmanniana","ERLE",NA,1,17,66
"66","Eragrostis lehmanniana","ERLE",NA,1,17,64
"67","Eragrostis lehmanniana","ERLE",NA,1,17,40
"68","Eragrostis lehmanniana","ERLE",NA,1,17,11
"69","Eragrostis lehmanniana","ERLE",NA,1,18,83
"70","Eragrostis lehmanniana","ERLE",NA,1,18,63
"71","Eragrostis lehmanniana","ERLE",NA,1,18,50
"72","Eragrostis lehmanniana","ERLE",NA,1,18,64
"73","Eragrostis lehmanniana","ERLE",NA,1,19,64
