,Sites,Date
1,12A_1,12/16/2020
5,12A_2A,12/16/2020
6,12A_3,12/16/2020
7,12A_3A,12/16/2020
9,12A_4A,12/16/2020
10,12A_5,12/16/2020
12,12A_6,12/16/2020
16,12A_9A,12/16/2020
2,12A_10A,12/17/2020
3,12A_1A,12/17/2020
4,12A_2,12/17/2020
8,12A_4,12/17/2020
11,12A_5A,12/17/2020
13,12A_6A,12/17/2020
14,12A_7A,12/17/2020
15,12A_8A,12/17/2020
